"","type","scenario","policy","policy_length","climate_shock_labels","recovery_time_months","recovery_time_3months_baseline"
"1091","NPV",10,"Increase male size limit",12,"June",3,18
"1092","NPV",7,"No fishing males",12,"June",22,37
"1093","NPV",8,"No fishing males",12,"June",10,17
"1094","NPV",8,"Full closure",12,"June",17,17
"1095","NPV",8,"Increase male size limit",12,"June",4,17
"1096","NPV",8,"No fishing females",12,"June",4,17
"1097","NPV",1,"No fishing males",12,"June",24,7
"1098","NPV",1,"No fishing females",12,"June",3,7
"1099","NPV",1,"Full closure",12,"June",17,7
"1100","NPV",1,"Increase male size limit",12,"June",4,7
"1101","NPV",6,"No fishing males",12,"Mar-Aug",24,15
"1102","NPV",2,"No fishing males",12,"Mar-Aug",25,6
"1103","NPV",6,"Full closure",12,"Mar-Aug",17,15
"1104","NPV",2,"No fishing females",12,"Mar-Aug",3,6
"1105","NPV",10,"No fishing males",12,"Mar-Aug",71,999
"1106","NPV",7,"No fishing females",12,"Mar-Aug",12,45
"1107","NPV",5,"Increase male size limit",12,"Mar-Aug",14,11
"1108","NPV",4,"Full closure",12,"Mar-Aug",18,12
"1109","NPV",5,"No fishing females",12,"Mar-Aug",15,11
"1110","NPV",10,"Increase male size limit",12,"Mar-Aug",999,999
"1111","NPV",4,"No fishing males",12,"Mar-Aug",26,12
"1112","NPV",10,"No fishing females",12,"Mar-Aug",999,999
"1113","NPV",10,"Full closure",12,"Mar-Aug",60,999
"1114","NPV",2,"Increase male size limit",12,"Mar-Aug",12,6
"1115","NPV",2,"Full closure",12,"Mar-Aug",17,6
"1116","NPV",4,"Increase male size limit",12,"Mar-Aug",3,12
"1117","NPV",3,"No fishing males",12,"Mar-Aug",25,17
"1118","NPV",3,"No fishing females",12,"Mar-Aug",3,17
"1119","NPV",3,"Full closure",12,"Mar-Aug",17,17
"1120","NPV",3,"Increase male size limit",12,"Mar-Aug",7,17
"1121","NPV",4,"No fishing females",12,"Mar-Aug",14,12
"1122","NPV",7,"Full closure",12,"Mar-Aug",24,45
"1123","NPV",8,"Increase male size limit",12,"Mar-Aug",62,999
"1124","NPV",6,"No fishing females",12,"Mar-Aug",12,15
"1125","NPV",8,"No fishing females",12,"Mar-Aug",3,999
"1126","NPV",1,"Full closure",12,"Mar-Aug",18,20
"1127","NPV",5,"Full closure",12,"Mar-Aug",25,11
"1128","NPV",8,"No fishing males",12,"Mar-Aug",49,999
"1129","NPV",9,"No fishing females",12,"Mar-Aug",86,999
"1130","NPV",5,"No fishing males",12,"Mar-Aug",7,11
"1131","NPV",8,"Full closure",12,"Mar-Aug",49,999
"1132","NPV",9,"Full closure",12,"Mar-Aug",61,999
"1133","NPV",9,"Increase male size limit",12,"Mar-Aug",999,999
"1134","NPV",1,"Increase male size limit",12,"Mar-Aug",3,20
"1135","NPV",1,"No fishing females",12,"Mar-Aug",3,20
"1136","NPV",1,"No fishing males",12,"Mar-Aug",25,20
"1137","NPV",6,"Increase male size limit",12,"Mar-Aug",30,15
"1138","NPV",7,"No fishing males",12,"Mar-Aug",19,45
"1139","NPV",9,"No fishing males",12,"Mar-Aug",61,999
"1140","NPV",7,"Increase male size limit",12,"Mar-Aug",30,45
"1141","NPV",10,"Full closure",12,"May-Aug",85,999
"1142","NPV",2,"No fishing females",12,"May-Aug",12,5
"1143","NPV",10,"No fishing females",12,"May-Aug",999,999
"1144","NPV",2,"Full closure",12,"May-Aug",17,5
"1145","NPV",2,"No fishing males",12,"May-Aug",7,5
"1146","NPV",3,"Increase male size limit",12,"May-Aug",10,3
"1147","NPV",3,"No fishing males",12,"May-Aug",8,3
"1148","NPV",10,"No fishing males",12,"May-Aug",56,999
"1149","NPV",3,"No fishing females",12,"May-Aug",3,3
"1150","NPV",3,"Full closure",12,"May-Aug",17,3
"1151","NPV",2,"Increase male size limit",12,"May-Aug",13,5
"1152","NPV",10,"Increase male size limit",12,"May-Aug",999,999
"1153","NPV",4,"Increase male size limit",12,"May-Aug",8,6
"1154","NPV",4,"No fishing males",12,"May-Aug",8,6
"1155","NPV",1,"No fishing males",12,"May-Aug",7,13
"1156","NPV",1,"Full closure",12,"May-Aug",24,13
"1157","NPV",4,"No fishing females",12,"May-Aug",12,6
"1158","NPV",4,"Full closure",12,"May-Aug",17,6
"1159","NPV",6,"No fishing males",12,"May-Aug",7,4
"1160","NPV",1,"Increase male size limit",12,"May-Aug",7,13
"1161","NPV",1,"No fishing females",12,"May-Aug",12,13
"1162","NPV",8,"No fishing males",12,"May-Aug",59,999
"1163","NPV",5,"No fishing males",12,"May-Aug",7,4
"1164","NPV",5,"No fishing females",12,"May-Aug",12,4
"1165","NPV",7,"No fishing females",12,"May-Aug",12,71
"1166","NPV",5,"Increase male size limit",12,"May-Aug",12,4
"1167","NPV",6,"Increase male size limit",12,"May-Aug",22,4
"1168","NPV",6,"Full closure",12,"May-Aug",18,4
"1169","NPV",7,"Increase male size limit",12,"May-Aug",15,71
"1170","NPV",7,"Full closure",12,"May-Aug",25,71
"1171","NPV",9,"Full closure",12,"May-Aug",999,999
"1172","NPV",9,"No fishing females",12,"May-Aug",80,999
"1173","NPV",6,"No fishing females",12,"May-Aug",12,4
"1174","NPV",9,"No fishing males",12,"May-Aug",87,999
"1175","NPV",9,"Increase male size limit",12,"May-Aug",84,999
"1176","NPV",7,"No fishing males",12,"May-Aug",7,71
"1177","NPV",8,"Full closure",12,"May-Aug",39,999
"1178","NPV",5,"Full closure",12,"May-Aug",18,4
"1179","NPV",8,"Increase male size limit",12,"May-Aug",15,999
"1180","NPV",8,"No fishing females",12,"May-Aug",49,999
"1181","NPV",2,"No fishing females",12,"Mar-May",4,12
"1182","NPV",10,"No fishing females",12,"Mar-May",3,52
"1183","NPV",10,"Full closure",12,"Mar-May",24,52
"1184","NPV",10,"No fishing females",12,"Mar-May",3,52
"1185","NPV",10,"Increase male size limit",12,"Mar-May",3,52
"1186","NPV",10,"No fishing males",12,"Mar-May",17,52
"1187","NPV",2,"No fishing males",12,"Mar-May",17,12
"1188","NPV",7,"No fishing males",12,"Mar-May",17,999
"1189","NPV",1,"Full closure",12,"Mar-May",21,17
"1190","NPV",6,"Full closure",12,"Mar-May",17,18
"1191","NPV",7,"Increase male size limit",12,"Mar-May",5,999
"1192","NPV",1,"Increase male size limit",12,"Mar-May",3,17
"1193","NPV",1,"No fishing males",12,"Mar-May",17,17
"1194","NPV",4,"No fishing males",12,"Mar-May",10,9
"1195","NPV",1,"No fishing females",12,"Mar-May",3,17
"1196","NPV",9,"Increase male size limit",12,"Mar-May",3,17
"1197","NPV",9,"No fishing females",12,"Mar-May",4,17
"1198","NPV",9,"Full closure",12,"Mar-May",17,17
"1199","NPV",9,"No fishing males",12,"Mar-May",19,17
"1200","NPV",5,"Increase male size limit",12,"Mar-May",5,11
"1201","NPV",5,"Full closure",12,"Mar-May",17,11
"1202","NPV",2,"Full closure",12,"Mar-May",17,12
"1203","NPV",2,"Increase male size limit",12,"Mar-May",3,12
"1204","NPV",6,"Increase male size limit",12,"Mar-May",5,18
"1205","NPV",3,"Increase male size limit",12,"Mar-May",3,9
"1206","NPV",7,"Full closure",12,"Mar-May",17,999
"1207","NPV",3,"No fishing females",12,"Mar-May",5,9
"1208","NPV",3,"No fishing males",12,"Mar-May",11,9
"1209","NPV",3,"Full closure",12,"Mar-May",31,9
"1210","NPV",6,"No fishing females",12,"Mar-May",15,18
"1211","NPV",6,"No fishing males",12,"Mar-May",27,18
"1212","NPV",4,"No fishing females",12,"Mar-May",4,9
"1213","NPV",5,"No fishing males",12,"Mar-May",30,11
"1214","NPV",4,"Full closure",12,"Mar-May",17,9
"1215","NPV",9,"No fishing females",12,"Mar-May",3,17
"1216","NPV",8,"No fishing females",12,"Mar-May",6,19
"1217","NPV",8,"No fishing males",12,"Mar-May",27,19
"1218","NPV",8,"Increase male size limit",12,"Mar-May",6,19
"1219","NPV",7,"No fishing females",12,"Mar-May",5,999
"1220","NPV",5,"No fishing females",12,"Mar-May",18,11
"1221","NPV",4,"Increase male size limit",12,"Mar-May",6,9
"1222","NPV",8,"Full closure",12,"Mar-May",20,19
"1223","NPV",10,"Full closure",12,"Jun-Aug",999,999
"1224","NPV",6,"No fishing males",12,"Jun-Aug",7,12
"1225","NPV",4,"Full closure",12,"Jun-Aug",17,20
"1226","NPV",4,"No fishing males",12,"Jun-Aug",8,20
"1227","NPV",4,"No fishing females",12,"Jun-Aug",12,20
"1228","NPV",4,"No fishing females",12,"Jun-Aug",3,20
"1229","NPV",4,"Increase male size limit",12,"Jun-Aug",7,20
"1230","NPV",1,"Full closure",12,"Jun-Aug",20,22
"1231","NPV",1,"No fishing females",12,"Jun-Aug",12,22
"1232","NPV",1,"Increase male size limit",12,"Jun-Aug",14,22
"1233","NPV",2,"Increase male size limit",12,"Jun-Aug",3,4
"1234","NPV",5,"Increase male size limit",12,"Jun-Aug",23,14
"1235","NPV",5,"Full closure",12,"Jun-Aug",17,14
"1236","NPV",10,"No fishing males",12,"Jun-Aug",74,999
"1237","NPV",1,"No fishing females",12,"Jun-Aug",12,22
"1238","NPV",10,"Increase male size limit",12,"Jun-Aug",999,999
"1239","NPV",2,"No fishing females",12,"Jun-Aug",3,4
"1240","NPV",2,"No fishing females",12,"Jun-Aug",3,4
"1241","NPV",2,"No fishing males",12,"Jun-Aug",7,4
"1242","NPV",3,"No fishing females",12,"Jun-Aug",3,5
"1243","NPV",3,"No fishing males",12,"Jun-Aug",35,5
"1244","NPV",9,"No fishing females",12,"Jun-Aug",55,999
"1245","NPV",1,"No fishing males",12,"Jun-Aug",17,22
"1246","NPV",3,"Increase male size limit",12,"Jun-Aug",19,5
"1247","NPV",3,"Full closure",12,"Jun-Aug",17,5
"1248","NPV",5,"No fishing females",12,"Jun-Aug",3,14
"1249","NPV",5,"No fishing females",12,"Jun-Aug",12,14
"1250","NPV",3,"No fishing females",12,"Jun-Aug",3,5
"1251","NPV",6,"Full closure",12,"Jun-Aug",24,12
"1252","NPV",7,"No fishing females",12,"Jun-Aug",3,14
"1253","NPV",7,"Full closure",12,"Jun-Aug",19,14
"1254","NPV",2,"Full closure",12,"Jun-Aug",21,4
"1255","NPV",5,"No fishing males",12,"Jun-Aug",7,14
"1256","NPV",8,"No fishing females",12,"Jun-Aug",60,51
"1257","NPV",8,"Full closure",12,"Jun-Aug",64,51
"1258","NPV",6,"Increase male size limit",12,"Jun-Aug",11,12
"1259","NPV",6,"No fishing females",12,"Jun-Aug",3,12
"1260","NPV",6,"No fishing females",12,"Jun-Aug",3,12
"1261","NPV",9,"Full closure",12,"Jun-Aug",999,999
"1262","NPV",9,"Increase male size limit",12,"Jun-Aug",73,999
"1263","NPV",9,"No fishing males",12,"Jun-Aug",74,999
"1264","NPV",10,"No fishing females",12,"Jun-Aug",999,999
"1265","NPV",7,"Increase male size limit",12,"Jun-Aug",12,14
"1266","NPV",8,"Increase male size limit",12,"Jun-Aug",43,51
"1267","NPV",7,"No fishing males",12,"Jun-Aug",25,14
"1268","NPV",7,"No fishing females",12,"Jun-Aug",3,14
"1269","NPV",8,"No fishing females",12,"Jun-Aug",51,51
"1270","NPV",8,"No fishing males",12,"Jun-Aug",76,51
"1271","NPV",2,"No fishing females",12,"Dec-Feb",8,36
"1272","NPV",3,"Increase male size limit",12,"Dec-Feb",7,20
"1273","NPV",3,"No fishing males",12,"Dec-Feb",14,20
"1274","NPV",10,"Full closure",12,"Dec-Feb",18,21
"1275","NPV",2,"Increase male size limit",12,"Dec-Feb",3,36
"1276","NPV",6,"No fishing females",12,"Dec-Feb",8,88
"1277","NPV",6,"No fishing males",12,"Dec-Feb",19,88
"1278","NPV",10,"No fishing females",12,"Dec-Feb",7,21
"1279","NPV",10,"No fishing females",12,"Dec-Feb",8,21
"1280","NPV",3,"Full closure",12,"Dec-Feb",17,20
"1281","NPV",4,"Full closure",12,"Dec-Feb",17,21
"1282","NPV",10,"No fishing males",12,"Dec-Feb",39,21
"1283","NPV",9,"No fishing males",12,"Dec-Feb",33,21
"1284","NPV",7,"No fishing females",12,"Dec-Feb",8,27
"1285","NPV",9,"No fishing females",12,"Dec-Feb",7,21
"1286","NPV",9,"No fishing females",12,"Dec-Feb",8,21
"1287","NPV",9,"Increase male size limit",12,"Dec-Feb",10,21
"1288","NPV",9,"Full closure",12,"Dec-Feb",19,21
"1289","NPV",5,"Increase male size limit",12,"Dec-Feb",4,21
"1290","NPV",5,"No fishing females",12,"Dec-Feb",7,21
"1291","NPV",5,"Full closure",12,"Dec-Feb",20,21
"1292","NPV",5,"No fishing males",12,"Dec-Feb",14,21
"1293","NPV",8,"No fishing females",12,"Dec-Feb",8,22
"1294","NPV",8,"No fishing females",12,"Dec-Feb",33,22
"1295","NPV",1,"No fishing females",12,"Dec-Feb",7,3
"1296","NPV",1,"No fishing females",12,"Dec-Feb",7,3
"1297","NPV",10,"Increase male size limit",12,"Dec-Feb",10,21
"1298","NPV",2,"No fishing females",12,"Dec-Feb",8,36
"1299","NPV",7,"Increase male size limit",12,"Dec-Feb",7,27
"1300","NPV",7,"Full closure",12,"Dec-Feb",33,27
"1301","NPV",7,"No fishing males",12,"Dec-Feb",27,27
"1302","NPV",2,"Full closure",12,"Dec-Feb",23,36
"1303","NPV",2,"No fishing males",12,"Dec-Feb",15,36
"1304","NPV",8,"Full closure",12,"Dec-Feb",18,22
"1305","NPV",8,"Increase male size limit",12,"Dec-Feb",10,22
"1306","NPV",3,"No fishing females",12,"Dec-Feb",8,20
"1307","NPV",3,"No fishing females",12,"Dec-Feb",8,20
"1308","NPV",6,"Full closure",12,"Dec-Feb",21,88
"1309","NPV",6,"No fishing females",12,"Dec-Feb",8,88
"1310","NPV",8,"No fishing males",12,"Dec-Feb",14,22
"1311","NPV",4,"Increase male size limit",12,"Dec-Feb",10,21
"1312","NPV",4,"No fishing females",12,"Dec-Feb",7,21
"1313","NPV",4,"No fishing males",12,"Dec-Feb",18,21
"1314","NPV",4,"No fishing females",12,"Dec-Feb",23,21
"1315","NPV",5,"No fishing females",12,"Dec-Feb",8,21
"1316","NPV",1,"Full closure",12,"Dec-Feb",17,3
"1317","NPV",1,"No fishing males",12,"Dec-Feb",17,3
"1318","NPV",7,"No fishing females",12,"Dec-Feb",8,27
"1319","NPV",6,"Increase male size limit",12,"Dec-Feb",3,88
"1320","NPV",1,"Increase male size limit",12,"Dec-Feb",5,3
